postal_code,latitude,longitude
2670066,35.5314584,140.2650782
2701101,35.8635961,140.1161911
2702261,35.7952936,139.9611318
2710064,35.7967138,139.9154812
2710092,35.7823522,139.9014779
2720034,35.7302092,139.9086433
2720127,35.6677023,139.9232713
2730005,35.7009638,139.9859946
2730031,35.7101598,139.9586577
2730032,35.7073547,139.9553862
2730035,35.7161078,139.9439244
2730107,35.7817881,140.0026199
2740073,35.7045222,140.0459416
2760029,35.7260782,140.114615
2770803,35.9095786,139.9552542
2840015,35.6929713,140.1844145
2850858,35.7238145,140.1566532
2892504,35.7202866,140.6205064
2920802,35.361809,139.933815
3000037,36.0775967,140.2035624
3050861,36.0339122,140.07627
3100004,36.3921353,140.4803553
3200851,36.553776,139.852882
3210151,36.5276961,139.853043
3280075,36.3898848,139.7221979
3300073,35.8721763,139.6515262
3300846,35.9069284,139.6265927
3310078,35.9266141,139.5773865
3320012,35.7986185,139.7254759
3320017,35.8027535,139.7205894
3320034,35.8160419,139.708414
3330851,35.8294776,139.6927431
3330853,35.8308625,139.6846609
3340056,35.8323176,139.7754509
3340063,35.831511,139.758812
3350002,35.8256207,139.697033
3350011,35.8154437,139.6833965
3350032,35.8269005,139.6524369
3370003,35.948341,139.6676787
3380832,35.8559113,139.6289368
3390057,35.949991,139.698533
3430808,35.8868611,139.7850786
3430845,35.8737213,139.7919373
3450831,36.0221925,139.7106974
3500062,35.9243784,139.48248
3500206,35.9508929,139.4384571
3501335,35.8709208,139.404927
3520001,35.8221155,139.5745457
3520002,35.8096246,139.569173
3591124,35.7824651,139.4720099
3591141,35.8013551,139.4395777
3620803,36.004676,139.6178131
3690131,36.0963718,139.4665498
3691201,36.1613364,139.2044131
3700035,36.3105814,139.0556746
3740027,36.2430197,139.5246176
3890805,36.4952154,138.1453963
4000075,37.6580221,126.6129551
4110842,35.1109289,138.9145779
4110911,35.0984168,138.9121131
4130302,34.8197042,139.0692001
4160945,35.1347045,138.6553871
4170057,35.1668538,138.6713826
4228076,34.9715949,138.3960824
4240206,35.0476083,138.5129709
4300906,34.7286422,137.7266452
4338105,34.781645,137.711977
4371612,34.662273,138.1184811
4380071,34.7138168,137.8526925
4411115,34.8027305,137.4389208
4420879,34.8219919,137.368266
4440827,34.9209654,137.1591785
4442424,35.1329447,137.3073384
4480812,34.9747308,137.0164088
4520841,35.2282106,136.8626256
4530044,35.1754263,136.8656643
4530801,35.1666659,136.8789426
4540837,35.1259036,136.8714957
4540877,35.1480276,136.8553657
4540971,35.1586972,136.8140153
4560032,35.1287273,136.9147956
4560058,35.1227668,136.8869966
4580011,35.099883,136.9766665
4580804,35.0963744,137.0060692
4580815,35.0912105,136.996492
4600008,35.1663635,136.9030862
4620829,35.1940304,136.9245469
4630011,35.2020284,136.9761393
4630068,35.2118628,136.9356033
4630096,35.2090894,136.965437
4640821,35.166143,136.9546689
4640831,35.1635521,136.9553014
4640850,35.1664318,136.9357833
4640858,35.1620133,136.93196
4660815,35.1449344,136.9654034
4670041,35.1311647,136.9478729
4670806,35.136158,136.9338061
4680041,35.1160692,136.9678939
4680077,35.1338894,136.9738666
